en,de,eu,ro,it,fr,hu,et,fi
analysis,Analyse,azterketa,analiză,analisi,une analyse,elemzés,analüüs,analyysi
and,und,eta,și,e,et,és,ja,ja
animal,Tier,animal,animal,animale,animal,állat,loom,eläin
another,Ein weiterer,beste,o alta,un altro,un autre,egy másik,teine,toinen
answer,Antworten,erantzun,Răspuns,risposta,réponse,válasz,vastus,vastaus
any,irgendein,edozein,orice,qualunque,tout,bármilyen,mistahes,minkä tahansa
anyone,jemand,edonork,oricine,chiunque,n'importe qui,bárki,keegi,kukaan
anything,etwas,ezer,orice,nulla,n'importe quoi,bármi,midagi,mitä vain
appear,erscheinen,agertzen,apărea,apparire,apparaître,megjelenik,ilmuma,ilmestyä
apply,sich bewerben,aplikatu,aplica,applicare,appliquer,alkalmaz,kehtima,Käytä
approach,Ansatz,planteamendu,abordare,approccio,approche,megközelítés,lähenemine,lähestyä
area,Bereich,inguruan,zonă,la zona,surface,terület,piirkond,alue
argue,streiten,argudiatu,argumenta,discutere,se disputer,érvel,vaidlema,väitellä
arm,Arm,arm,braţ,braccio,bras,kar,käsi,käsivarsi
around,um,inguruan,în jurul,in giro,autour,körül,ümber,noin
arrive,ankommen,iristen,ajunge,arrivo,arrivée,megérkezik,saabuma,saapua
art,Kunst,art,artă,arte,art,Művészet,kunst,taide
article,Artikel,Artikulu,articol,articolo,article,cikk,artikkel,artikla
artist,Künstler,artistaren,artist,artista,artiste,művész,kunstnik,taiteilija
as,wie,gisa,la fel de,come,comme,mint,nagu,kuten
ask,Fragen,galdetu,cere,Chiedere,demander,kérdez,küsima,kysyä
assume,annehmen,suposatuko,presupune,assumere,assumer,feltételezni,eeldama,olettaa
at,beim,tan,la,a,à,nál nél,juures,at
attack,Attacke,eraso,atac,attacco,attaque,támadás,rünnak,hyökkäys
attention,Beachtung,arreta,Atenţie,Attenzione,attention,Figyelem,tähelepanu,huomio
attorney,Rechtsanwalt,abokatu,avocat,procuratore,avocat,ügyvéd,advokaat,asianajaja
audience,Publikum,ikusleek,public,pubblico,public,közönség,publik,yleisö
author,Autor,egileak,autor,autore,auteur,szerző,autor,kirjailija
authority,Behörde,autoritate,autoritate,autorità,autorité,hatóság,volitused,auktoriteetti
available,verfügbar,eskuragarri,disponibil,a disposizione,disponible,elérhető,saadaval,käytettävissä
avoid,vermeiden,saihestu,evita,evitare,éviter,elkerül,vältima,välttää
away,Weg,urrun,departe,lontano,une façon,el,ära,pois
baby,Baby,umea,bebelus,bambino,bébé,baba,laps,vauva
back,zurück,atzera,înapoi,indietro,retour,hát,tagasi,takaisin
bad,Schlecht,txarra,rău,male,mal,rossz,halb,huono
bag,Tasche,poltsa,sac,Borsa,sac,táska,kott,laukku
ball,Ball,baloia,minge,palla,ballon,labda,pall,pallo
bank,Bank,banku,bancă,banca,banque,bank,pank,pankki
bar,Bar,bar,bar,bar,bar,bár,baar,baari
base,Base,base,baza,base,base,bázis,alus,pohja
be,Sein,izan,fi,essere,être,lenni,olema,olla
beat,schlagen,beat,bate,battere,battre,üt,lööma,lyödä
beautiful,wunderschönen,ederra,frumos,bellissimo,belle,szép,ilus,kaunis
because,da,delako,deoarece,perché,parce que,mert,sest,koska
become,werden,bihurtu,deveni,diventare,devenir,válik,saama,tulla
bed,Bett,ohea,pat,letto,lit,ágy,voodi,sänky
before,Vor,aurretik,inainte de,prima,avant,előtt,enne,ennen
begin,Start,hasiko,începe,inizio,commencer,kezdődik,alustama,alkaa
behavior,Verhalten,jokabidea,comportament,comportamento,comportement,viselkedés,käitumine,käytös
behind,hinter,atzean,in spate,dietro a,derrière,mögött,taga,takana
believe,glauben,uste,crede,credere,croyez,hinni,uskuma,uskoa
benefit,Vorteil,Prestazioa,beneficiu,beneficiare,avantage,haszon,kasu,hyöty
best,Beste,onena,Cel mai bun,migliore,meilleur,legjobb,parim,parhaat
better,besser,hobeto,mai bine,meglio,meilleur,jobb,parem,paremmin
between,zwischen,arteko,între,fra,entre,között,vahel,välillä
beyond,darüber hinaus,haratago,dincolo,al di là,au-delà,túl,üle,ulkopuolella
big,groß,big,mare,grande,gros,nagy,suur,iso
bill,Rechnung,faktura,factură,conto,facture,számla,arve,laskuttaa
billion,Milliarde,milioi,miliard,miliardo,milliard,"milliárd, ezermillió",miljard,miljardi
bit,bisschen,pixka,pic,po,bit,bit,natuke,bitti
black,schwarz,beltza,negru,nero,noir,fekete,must,musta
blood,Blut,odol,sânge,sangue,du sang,vér,veri,veri
blue,Blau,urdinak,albastru,blu,bleu,kék,sinine,sininen
board,Tafel,taula,bord,tavola,planche,tábla,juhatus,lauta
body,Karosserie,body,corp,corpo,corps,test,keha,ruumis
book,Buch,liburu,carte,libro,livre,könyv,raamat,kirja
born,geboren,Born,născut,Nato,née,született,sündinud,syntynyt
both,beide,bai,ambii,tutti e due,tous les deux,mindkét,mõlemad,molemmat
box,Box,box,cutie,scatola,boîte,doboz,kast,laatikko
boy,Junge,mutil,băiat,ragazzo,garçon,fiú,poiss,poika
break,brechen,break,pauză,rompere,Pause,szünet,paus,tauko
bring,bringen,ekarri,aduce,portare,apporter,hoz,tooma,tuoda
brother,Bruder,anaia,frate,fratello,frère,fiú testvér,vend,veli
budget,Budget,aurrekontua,buget,bilancio,budget,költségvetés,eelarve,talousarvio
build,bauen,eraikitzeko,construi,costruire,construire,épít,ehitama,rakentaa
building,Gebäude,eraikin,clădire,costruzione,bâtiment,épület,hoone,rakennus
business,Geschäft,negozio,Afaceri,attività commerciale,affaires,üzleti,äri,liiketoiminta
but,aber,baina,dar,ma,mais,de,aga,mutta
buy,Kaufen,erosi,a cumpara,acquistare,acheter,megvesz,ostma,ostaa
by,durch,arabera,de,di,par,által,kõrval,mennessä
call,Anruf,deiaren,apel,chiamata,appel,hívás,helistama,soittaa puhelimella
camera,Kamera,kamera,aparat foto,telecamera,caméra,kamera,kaamera,kamera
campaign,Kampagne,kanpaina,campanie,campagna,campagne,kampány,kampaania,kampanja
can,können,ahal,poate sa,può,pouvez,tud,saab,voida
cancer,Krebs,minbizia,cancer,cancro,cancer,rák,vähk,syöpä
candidate,Kandidat,hautagai,candidat,candidato,candidat,jelölt,kandidaat,ehdokas
capital,Hauptstadt,hiriburu,capital,capitale,Capitale,főváros,kapital,iso alkukirjain
car,Auto,autoa,mașină,auto,voiture,autó,auto,auto
card,Karte,txartela,card,carta,carte,kártya,kaart,kortti-
care,Pflege,arreta,îngrijire,cura,se soucier,gondoskodás,hoolitsemine,hoito
career,Werdegang,karrera,Carieră,carriera,carrière,karrier,karjäär,ura
carry,tragen,eraman,transporta,trasportare,porter,visz,viima,kuljettaa
case,Fall,Kasu,caz,Astuccio,Cas,ügy,juhtum,tapaus
catch,Fang,harrapaketa,captură,catturare,capture,fogás,saak,saada kiinni
cause,Ursache,kausa,cauza,causa,cause,ok,põhjus,syy
cell,Zelle,zelula,celulă,cellula,cellule,sejt,rakk,solu
center,Center,zentro,centru,centro,centre,központ,Keskus,keskusta
central,zentral,erdiko,central,centrale,central,központi,keskne,keskus-
century,Jahrhundert,mendeko,secol,secolo,siècle,század,sajand,vuosisata
certain,sicher,zenbait,anumit,certo,certain,bizonyos,teatud,tietty
certainly,bestimmt,zalantzarik,cu siguranță,certamente,certainement,biztosan,kindlasti,varmasti
chair,Stuhl,aulki,scaun,sedia,chaise,szék,tool,tuoli
challenge,Herausforderung,erronka,provocare,sfida,défi,kihívás,väljakutse,haaste
chance,Chance,aukera,şansă,opportunità,chance,véletlen,võimalus,mahdollisuus
change,Veränderung,aldaketaren,Schimbare,modificare,changement,változás,muutus,muuttaa
character,Charakter,pertsonaia,caracter,personaggio,personnage,karakter,iseloom,merkki
charge,aufladen,kobratzen,încărca,carica,charge,díj,tasu,veloittaa
check,prüfen,egiaztatu,Verifica,dai un'occhiata,vérifier,jelölje be,Kontrollima,tarkistaa
child,Kind,ume,copil,bambino,enfant,gyermek,laps,lapsi
choice,Wahl,aukera,alegere,scelta,choix,választás,valik,valinta
choose,wählen,aukeratu,alege,scegliere,choisir,választ,valima,valita
church,Kirche,eliza,biserică,Chiesa,église,templom,kirik,kirkko
citizen,Bürger,herritar,cetăţean,cittadino,citoyen,állampolgár,kodanik,kansalainen
city,Stadt,city,oraș,città,ville,város,linn,kaupunki
civil,bürgerlich,zibil,civil,civile,civil,civil,tsiviil-,siviili-
claim,Anspruch,erreklamazioa,Revendicare,Richiesta,prétendre,követelés,nõue,vaatimus
class,Klasse,class,clasă,classe,classe,osztály,klass,luokka
clear,klar,argi,clar,chiaro,clair,egyértelmű,selge,asia selvä
clearly,deutlich,argi eta garbi,clar,chiaramente,clairement,tisztán,selgelt,selvästi
close,schließen,itxi,închide,vicino,Fermer,Bezárás,Sulge,kiinni
coach,Trainer,entrenatzaile,antrenor,allenatore,entraîneur,távolsági busz,treener,valmentaja
cold,kalt,hotz,rece,freddo,du froid,hideg,külm,kylmä
collection,Sammlung,collection,Colectie,collezione,collection,Gyűjtemény,kogumine,kokoelma
college,Hochschule,unibertsitatean,colegiu,Università,Université,főiskola,kolledž,college
color,Farbe,kolore,culoare,colore,Couleur,szín,värv,väri-
come,Kommen Sie,Etorri,veni,venire,viens,jön,tulema,tulla
commercial,kommerziell,komertziala,comercial,commerciale,commercial,kereskedelmi,kaubanduslik,kaupallinen
common,verbreitet,ohikoa,comun,Comune,commun,közös,ühine,yhteinen
community,Gemeinschaft,komunitatea,comunitate,Comunità,communauté,közösség,kogukond,Yhteisö
company,Unternehmen,konpainiak,companie,azienda,entreprise,vállalat,ettevõte,yhtiö
compare,vergleichen Sie,konparatu,comparaţie,confrontare,comparer,hasonlítsa össze,võrdlema,vertailla
computer,Computer,ordenagailu,calculator,computer,ordinateur,számítógép,arvuti,tietokone
concern,"Besorgnis, Sorge",kezka,îngrijorare,preoccupazione,préoccupation,vonatkozik,mure,koskea
condition,Bedingung,baldintza,condiție,condizione,état,feltétel,tingimus,kunto
conference,Konferenz,hitzaldi,conferinţă,conferenza,conférence,konferencia,konverents,konferenssi
Congress,Kongress,Kongresua,Congres,Congresso,Congrès,Kongresszus,kongress,kongressi
consider,Erwägen,kontuan,considera,tenere conto,considérer,fontolgat,arvestama,harkita
consumer,Verbraucher,kontsumitzaile,consumator,consumatore,consommateur,fogyasztó,tarbija,kuluttaja
contain,enthalten,eduki,conține,contenere,contenir,tartalmaz,sisaldama,sisältää
continue,fortsetzen,jarraitu,continua,Continua,continuer,Folytatni,jätkama,jatkaa
control,Steuerung,kontrol,Control,controllo,contrôle,ellenőrzés,kontroll,ohjaus
cost,Kosten,kostua,cost,costo,Coût,költség,maksumus,kustannus
could,könnte,Could,ar putea,poteva,pourrait,tudott,võiks,voisi
country,Land,country,țară,nazione,pays,ország,riik,maa
couple,Paar,pare,cuplu,coppia,couple,párosít,paar,pari
course,Kurs,Ikastaroa,curs,corso,cours,tanfolyam,kursus,kurssi
court,Gericht,epaitegian,curte,Tribunale,tribunal,bíróság,kohus,tuomioistuin
cover,Abdeckung,azal,acoperi,copertina,couverture,borító,kate,peite
create,erstellen,sortzen,crea,creare,créer,teremt,looma,luoda
crime,Kriminalität,krimena,crimă,crimine,la criminalité,bűn,kuritegevus,rikollisuus
cultural,Kultur-,kulturalak,cultural,culturale,culturel,kulturális,kultuuriline,kulttuurinen
culture,Kultur,kultura,cultură,cultura,Culture,kultúra,kultuur,kulttuuri
cup,Tasse,kopa,ceașcă,tazza,tasse,csésze,tass,kuppi
current,aktuell,egungo,actual,attuale,actuel,jelenlegi,praegune,nykyinen
customer,Kunde,bezero,client,cliente,client,vevő,klient,asiakas
cut,Schnitt,ebaki,a taia,taglio,Couper,vágott,lõigatud,leikata
dark,dunkel,iluna,întuneric,buio,foncé,sötét,tume,tumma
data,Daten,datuak,date,dati,Les données,adat,andmed,data
daughter,Tochter,alaba,fiică,figlia,fille,lánya,tütar,tytär
day,Tag,egun,zi,giorno,journée,nap,päev,päivä
dead,tot,hildako,mort,morto,morte,halott,surnud,kuollut
deal,Deal,tratua,afacere,affare,traiter,üzlet,tehing,sopimus
death,Tod,heriotza,moarte,Morte,mort,halál,surm,kuolema
debate,Debatte,eztabaida,dezbate,discussione,débat,vita,arutelu,keskustelu
decade,Dekade,hamarkada,deceniu,decennio,décennie,évtized,kümnend,vuosikymmen
decide,entscheiden,erabakitzeko,decide,decidere,décider,döntsd el,otsustama,päättää
decision,Entscheidung,Erabaki,decizie,decisione,décision,döntés,otsus,päätös
deep,tief,sakona,adâncime,in profondità,Profond,mély,sügav,syvä
defense,Verteidigung,defentsa,apărare,difesa,la défense,védelem,kaitse,puolustus
degree,Grad,Gradu,grad,grado,diplôme,fokozat,aste,aste
Democrat,Demokrat,demokrata,Democrat,Democratico,Démocrate,Demokrata,demokraat,Demokraatti
democratic,demokratisch,demokratikoan,democratic,democratico,démocratique,demokratikus,demokraatlik,demokraattinen
describe,beschreiben,deskribatzea,descrie,descrivere,décrire,leírni,kirjeldama,kuvata
design,Design,diseinua,proiecta,design,conception,tervezés,disain,design
despite,Trotz,arren,in ciuda,nonostante,malgré,annak ellenére,vaatamata,huolimatta
detail,Detail,Xehetasun,detaliu,dettaglio,détail,Részlet,detail,yksityiskohta
determine,bestimmen,zehaztu,a determina,determinare,déterminer,meghatározására,määrama,määrittää
develop,entwickeln,garatzea,dezvolta,sviluppare,développer,fejleszt,arendama,kehittää
development,Entwicklung,garapena,dezvoltare,sviluppo,développement,fejlesztés,areng,kehitys
die,sterben,hiltzen,a muri,morire,mourir,meghal,surema,kuolla
difference,Unterschied,aldea,diferență,differenza,différence,különbség,vahe,ero
different,anders,ezberdinak,diferit,diverso,différent,különböző,erinev,eri
difficult,schwer,zaila,dificil,difficile,difficile,nehéz,raske,vaikea
dinner,Abendessen,afaria,masa de seara,cena,dîner,vacsora,lõuna,päivällinen
direction,Richtung,norabidea,direcţie,direzione,direction,irány,suund,suunta
director,Direktor,zuzendaria,director,direttore,réalisateur,rendező,direktor,johtaja
discover,entdecken,ezagutzeko,descoperi,scoprire,découvrir,felfedez,avastama,löytää
discuss,diskutieren,eztabaidatu,discuta,discutere,discuter,megvitatása,arutama,keskustella
discussion,Diskussion,eztabaida,discuţie,discussione,discussion,vita,arutelu,keskustelu
disease,Krankheit,gaixotasunak,boală,malattia,maladie,betegség,haigus,tauti
do,tun,ez,do,fare,faire,csinál,tegema,tehdä
doctor,Arzt,medikua,doctor,medico,médecin,orvos,arst,lääkäri
dog,Hund,txakur,câine,cane,chien,kutya,koer,koira
door,Tür,ate,uşă,porta,porte,ajtó,uks,ovi
down,Nieder,behera,jos,giù,vers le bas,le-,alla,alas
draw,zeichnen,marrazteko,a desena,disegnare,dessiner,húz,viik,piirtää
dream,Traum,ametsa,vis,sognare,rêver,álom,unistama,unelma
drive,Fahrt,drive,conduce,guidare,conduire,hajtás,ajam,ajaa
drop,fallen,askatu,cădere brusca,far cadere,laissez tomber,csepp,tilk,pudota
drug,Droge,droga,medicament,droga,drogue,drog,ravim,lääke
during,während,zehar,pe parcursul,durante,pendant,alatt,jooksul,aikana
each,jeder,bakoitzeko,fiecare,ogni,chaque,minden egyes,iga,kukin
early,früh,goiz,din timp,presto,de bonne heure,korai,vara,aikaisin
east,Osten,ekialdean,Est,est,est,keleti,ida,itään
easy,einfach,erraza,uşor,facile,facile,könnyen,lihtne,helppo
eat,Essen,jan,mânca,mangiare,manger,eszik,sööma,syödä
economic,wirtschaftlich,ekonomikoa,economic,economico,économique,gazdasági,majanduslik,taloudellinen
economy,Wirtschaft,ekonomia,economie,economia,économie,gazdaság,majandus,talous
edge,Kante,ertz,margine,bordo,bord,él,serv,reuna
education,Bildung,hezkuntza,educaţie,formazione scolastica,éducation,oktatás,haridus,koulutus
effect,bewirken,efektu,efect,effetto,effet,hatás,mõju,vaikutus
effort,Anstrengung,esfortzua,efort,sforzo,effort,erőfeszítés,pingutus,ponnistus
eight,acht,zortzi,opt,otto,huit,nyolc,kaheksa,kahdeksan
either,entweder,bai,fie,o,non plus,bármelyik,kumbki,jompikumpi
election,Wahl,hauteskunde,alegere,elezione,élection,választás,valimised,vaalit
else,sonst,bestela,altfel,altro,autre,más,teine,muu
employee,Mitarbeiter,langilea,angajat,dipendente,employé,munkavállaló,töötaja,työntekijä
end,Ende,end,Sfârșit,fine,fin,vég,lõpp,pää
energy,Energie,energia,energie,energia,énergie,energia,energia,energia
enjoy,genießen,gozatzeko,se bucura,godere,prendre plaisir,élvez,nautima,nauttia
enough,genug,nahikoa,destul,abbastanza,assez,elég,piisav,tarpeeksi
enter,eingeben,sartzen,introduce,accedere,entrer,belép,sisenema,tulla sisään
entire,ganz,osoa,întreg,intero,tout,teljes,terve,koko
environment,Umgebung,ingurumena,mediu inconjurator,ambiente,environnement,környezet,keskkond,ympäristö
environmental,Umwelt-,ingurumen,de mediu,ambientale,écologique,környezeti,keskkonna,ympäristö-
especially,insbesondere,"batez ere,",mai ales,particolarmente,notamment,különösen,eriti,erityisesti
establish,Gründen,ezarri,a stabili,stabilire,établir,létrehozni,looma,perustaa
even,sogar,are,chiar,anche,même,még,isegi,jopa
evening,Abend,arratsaldean,seară,sera,soir,este,õhtu,ilta
event,Veranstaltung,gertaera,eveniment,evento,un événement,esemény,sündmus,tapahtuma
ever,je,inoiz,vreodată,mai,déjà,valaha,kunagi,koskaan
every,jeden,guztietan,fiecare,ogni,chaque,minden,iga,joka
everybody,jeder,denek,toata lumea,tutti,Tout le monde,mindenki,kõik,jokainen
everyone,jeder,denek,toata lumea,tutti,toutes les personnes,mindenki,igaüks,jokainen
everything,alles,dena,Tot,qualunque cosa,tout,minden,kõik,kaikki
evidence,Beweis,frogak,evidență,prova,preuve,bizonyíték,tõend,näyttö
exactly,genau,zehazki,exact,Esattamente,exactement,pontosan,täpselt,tarkalleen
example,Beispiel,Adibidez,exemplu,esempio,Exemple,példa,näide,esimerkki
executive,Exekutive,exekutiboa,executiv,esecutivo,exécutif,végrehajtó,täidesaatev,johtaja
exist,existieren,existitzen,exista,esistere,exister,létezik,eksisteerima,olla olemassa
expect,erwarten von,espero,aştepta,aspettarsi,attendre,elvár,ootama,odottaa
experience,Erfahrung,esperientzia,experienţă,Esperienza,expérience,tapasztalat,kogemus,kokea
expert,Experte,aditua,expert,esperto,expert,szakértő,ekspert,asiantuntija
explain,erklären,azaldu,explica,spiegare,Explique,megmagyarázni,seletama,selittää
eye,Auge,begi,ochi,occhio,œil,szem,silm,silmä
face,Gesicht,aurpegia,față,viso,visage,arc,nägu,kasvot
fact,Tatsache,Izan,fapt,fatto,fait,tény,asjaolu,tosiasia
factor,Faktor,faktore,factor,fattore,facteur,tényező,faktor,tekijä
fail,Scheitern,huts,eșua,fallire,échouer,nem sikerül,ei,epäonnistua
fall,fallen,erori,cădea,autunno,tomber,esik,kukkuma,pudota
family,Familie,familia,familie,famiglia,famille,család,pere,perhe
far,weit,urrun,departe,lontano,loin,messze,kaugele,pitkälle
fast,schnell,azkarra,rapid,veloce,vite,gyors,kiire,nopeasti
father,Vater,aita,Tată,padre,père,apa,isa,isä
fear,Angst,beldurra,frică,paura,peur,félelem,hirm,pelko
federal,Bundes-,federal,federal,federale,fédéral,szövetségi,föderaalne,liittovaltion-
feel,Gefühl,sentitzen,simți,sentire,ressentir,érez,tundma,tuntea
feeling,Gefühl,sentimendu,sentiment,sensazione,sentiment,érzés,tunne,tunne
few,wenige,gutxi,puțini,pochi,peu,kevés,mõned,harvat
field,Feld,eremu,camp,campo,champ,mező,väli,ala
fight,kämpfen,borroka,luptă,combattimento,bats toi,harc,võitlus,taistella
figure,Zahl,Kopuru,figura,figura,figure,ábra,joonis,kuva
fill,füllen,bete,completati,riempire,remplir,tölt,täitma,täyttää
film,Film,film,film,film,film,film,film,elokuva
final,Finale,final,final,finale,final,végső,lõplik,lopullinen
finally,endlich,azkenik,in cele din urma,finalmente,enfin,végül,lõpuks,vihdoin
financial,Finanz-,finantza,financiar,finanziario,financier,pénzügyi,finants-,taloudellinen
find,finden,aurkitu,găsi,trova,trouver,megtalálja,leidma,löytö
fine,fein,fina,amenda,bene,bien,bírság,trahv,hieno
finger,Finger,hatz,deget,dito,doigt,ujj,sõrm,sormi
finish,Fertig,akabera,finalizarea,finire,terminer,Befejez,lõpetama,suorittaa loppuun
fire,Feuer,sute,foc,fuoco,Feu,Tűz,tulekahju,antaa potkut
firm,Feste,irmo,firmă,azienda,raffermir,cég,firma,yritys
first,zuerst,lehenengo,primul,primo,premier,első,esimene,ensimmäinen
fish,Fisch,arrain,peşte,pesce,poisson,hal,kala,kalastaa
five,fünf,bost,cinci,cinque,cinq,öt,viis,viisi
floor,Fußboden,Solairu,podea,pavimento,sol,padló,korrus,lattia
fly,fliegen,hegan,a zbura,volare,voler,légy,lendama,lentää
focus,Fokus,foku,concentra,messa a fuoco,concentrer,fókusz,fookus,fokus
follow,Folgen,jarraitu,urma,Seguire,suivre,kövesse,järgima,seurata
food,Lebensmittel,janari,alimente,cibo,aliments,élelmiszer,toit,ruoka
foot,Fuß,oinez,picior,piede,pied,láb,jalg,jalka
for,zum,egiteko,pentru,per,pour,mert,jaoks,varten
force,Macht,indarrean,forta,vigore,Obliger,erő,jõud,pakottaa
foreign,fremd,Atzerriko,străin,straniero,étranger,külföldi,välis-,ulkomainen
forget,vergessen,ahaztu,a uita,dimenticare,oublier,elfelejt,unustama,unohtaa
form,bilden,inprimaki,formă,modulo,forme,forma,vorm,muoto
former,ehemalige,ohia,fost,ex,ancien,korábbi,endine,entinen
forward,nach vorne,aurrera,redirecţiona,inoltrare,vers l'avant,előre,edasi,eteenpäin
four,vier,lau,patru,quattro,quatre,négy,neli,neljä
free,kostenlos,doan,liber,gratuito,libre,ingyenes,tasuta,vapaa
friend,Freund,Lagun,prieten,amico,ami,barát,sõber,ystävä
from,von,batetik,din,a partire dal,de,tól től,pärit,alkaen
front,Vorderseite,aurrean,față,davanti,de face,elülső,esi-,etuosa
full,voll,osoa,deplin,pieno,plein,teljes,täielik,koko
fund,Fonds,fondoa,fond,fondo,fonds,alap,fond,rahoittaa
future,Zukunft,etorkizun,viitor,futuro,futur,jövő,tulevik,tulevaisuus
game,Spiel,Joko,joc,gioco,Jeu,"játszma, meccs",mäng,peli
garden,Garten,lorategia,grădină,giardino,jardin,kert,aed,puutarha
gas,Gas,gas,gaz,gas,gaz,gáz,gaas,kaasu
general,Allgemeines,general,general,generale,général,Tábornok,üldine,yleinen
generation,Generation,belaunaldi,generaţie,generazione,génération,generáció,põlvkond,sukupolvi
get,erhalten,zaitez,obține,ottenere,obtenir,kap,saama,saada
girl,Mädchen,neska,fată,ragazza,fille,lány,tüdruk,tyttö
give,geben,eman,da,dare,donner,adni,andma,antaa
glass,Glas,beira,sticlă,bicchiere,verre,üveg,klaas,lasi-
go,gehen,joan,merge,partire,aller,megy,minema,mennä
goal,Tor,helburua,poartă,obbiettivo,objectif,cél,eesmärk,tavoite
good,gut,ona,bun,bene,bien,jó,hea,hyvä
government,Regierung,Gobernu,guvern,governo,gouvernement,kormány,valitsus,hallitus
great,großartig,handia,Grozav,grande,génial,nagy,suur,loistava
green,Grün,berdea,verde,verde,vert,zöld,roheline,vihreä
ground,Boden,lurrera,sol,terra,sol,talaj,maa,maa
group,Gruppe,taldeko,grup,gruppo,groupe,csoport,Grupp,ryhmä
grow,wachsen,hazten,crește,crescere,croître,nő,kasvama,kasvaa
growth,Wachstum,hazkundea,creştere,crescita,croissance,növekedés,kasv,kasvu
guess,vermuten,asmatzen,ghici,indovina,deviner,Találd ki,arvama,arvaus
gun,Gewehr,pistola,armă,pistola,pistolet,pisztoly,relv,ase
guy,Kerl,zentzuduna,tip,tipo,gars,fickó,kutt,kaveri
hair,Haar,ilea,păr,capelli,cheveux,haj,juuksed,hiukset
half,Hälfte,erdia,jumătate,metà,moitié,fél,pool,puoli
hand,Hand,eskua,mână,mano,main,kéz,käsi,käsi
hang,hängen,delta,atârna,appendere,pendre,lóg,rippuma,roikkua
happen,geschehen,gertatuko,întâmpla,accadere,se produire,történik,juhtuma,tapahtua
happy,glücklich,zoriontsu,fericit,contento,heureux,boldog,õnnelik,onnellinen
hard,schwer,hard,greu,difficile,difficile,kemény,raske,kova
have,haben,dute,avea,avere,avoir,van,olema,omistaa
he,er,he,el,lui,il,ő,ta,hän
head,Kopf,burua,cap,capo,tête,fej,pea,pää
health,Gesundheit,osasun,sănătate,Salute,santé,Egészség,tervis,terveys
hear,hören,entzun,auzi,sentire,entendre,hall,kuulma,kuulla
heart,Herz,bihotz,inimă,cuore,cœur,szív,süda,sydän
heat,Hitze,bero,căldură,calore,chaleur,hőség,soojus,lämpö
