en,de
kind,Art
kitchen,Küche
know,wissen
knowledge,Wissen
land,Land
language,Sprache
last,letzter
late,spät
later,später
laugh,lachen
law,Gesetz
lawyer,Rechtsanwalt
lay,legen
lead,Blei
leader,Anführer
learn,lernen
least,geringst
leave,lassen
left,link
leg,Bein
legal,legal
less,weniger
let,lassen
letter,Buchstabe
level,Grad
lie,Lüge
life,Leben
light,Licht
like,mögen
likely,wahrscheinlich
line,Linie
list,Liste
listen,hören
little,klein
live,leben
local,lokal
long,lang
look,sehen
lose,verlieren
loss,Verlust
lot,Schicksal
love,Liebe
low,niedrig
machine,Maschine
magazine,Zeitschrift
main,haupt-
maintain,unterhalten
major,Major
majority,Mehrheit
make,machen
man,Mensch
manage,verwalten
management,Verwaltung
manager,Direktor
many,viele
market,Markt
marriage,Ehe
material,Material
matter,Materie
may,
maybe,vielleicht
me,mich
mean,bedeuten
measure,messen
media,Medien
medical,medizinisch
meet,treffen
meeting,Versammlung
member,Mitglied
memory,Gedächtnis
mention,erwähnen
message,Nachricht
method,Art und Weise
middle,Mittelpunkt
might,Macht
military,Militär-
million,Million
mind,Verstand
minute,Minute
miss,vermissen
mission,Auftrag
model,Model
modern,modern
moment,Augenblick
money,Geld
month,Monat
more,
morning,Morgen
most,-ster
mother,Mutter
mouth,Mund
move,sich bewegen
movement,Bewegung
movie,Film
Mrs,Fr
much,viel
music,
must,müssen
my,mein
myself,mich
name,Name
nation,Volk
national,national
natural,natürlich
nature,Natur
near,nah
nearly,beinahe
necessary,nötig
need,Notwendigkeit
network,Netzwerk
never,nie
new,neu
news,Neuigkeiten
newspaper,Zeitung
next,nächster
nice,freundlich
night,Nacht
no,nein
none,keine
nor,noch
north,Norden
not,nicht
note,Ton
nothing,nichts
notice,bemerken
now,jetzt
number,Zahl
occur,passieren
of,von
off,weg
offer,anbieten
office,Büro
officer,Offizier
official,Beamter
often,häufig
oh,ach
oil,Öl
old,alt
on,auf
once,einmal
one,eins
only,nur
onto,auf
open,öffnen
operation,Operation
opportunity,Gelegenheit
option,Alternative
or,oder
order,Order
organization,Organisation
other,andere
others,
our,unser
out,heraus
outside,außerhalb
over,über
own,besitzen
owner,Besitzer
page,Seite
pain,Schmerz
painting,Gemälde
paper,Papier
parent,Elternteil
part,Teil
participant,Teilnehmer
particular,speziell
particularly,
partner,Partner
party,Feier
pass,
past,Vergangenheit
patient,Patient
pattern,Muster
pay,bezahlen
peace,Ruhe
people,Volk
per,pro
perform,verrichten
performance,Aufführung
perhaps,vielleicht
period,Punkt
person,Person
personal,persönlich
phone,anrufen
physical,körperlich
pick,Hacke
picture,Bild
piece,Stück
place,Platz
plan,Plan
plant,Pflanze
play,spielen
player,Spieler
point,Punkt
police,Polizei
policy,Politik
political,politisch
politics,Politik
poor,arm
popular,beliebt
population,Bevölkerung
position,Stellung
positive,
possible,möglich
power,Macht
practice,Übung
prepare,vorbereiten
present,Gegenwart
president,Präsident
pressure,Druck
pretty,anmutig
prevent,verhindern
price,Preis
private,privat
probably,wahrscheinlich
problem,Problem
process,Prozess
produce,produzieren
product,Produkt
production,Produktion
professional,Profi
professor,Professor
program,Programm
project,Projekt
property,Eigentum
protect,schützen
prove,beweisen
provide,sorgen
public,Publikum
pull,ziehen
purpose,Zweck
push,drücken
put,setzen
quality,Qualität
question,Frage
quickly,schnell
quite,ziemlich
race,Rasse
radio,Funk
raise,heben
range,Spanne
rate,Rate
rather,eher
reach,erreichen
read,lesen
ready,bereit
real,wahr
reality,Wirklichkeit
realize,
really,wirklich
reason,Grund
receive,bekommen
recent,jüngst
recently,neulich
recognize,erkennen
record,Schallplatte
red,rot
reduce,reduzieren
reflect,widerspiegeln
region,Gegend
relate,
relationship,Beziehung
religious,religiös
remain,bleiben
remember,sich erinnern
remove,entfernen
report,Bericht
represent,darstellen
require,brauchen
research,Forschung
resource,Ressource
respond,antworten
response,Antwort
responsibility,Verantwortung
rest,ruhen
result,Ergebnis
return,zurückkehren
reveal,enthüllen
rich,reich
right,Recht
rise,steigen
risk,Risiko
road,Straße
rock,Fels
role,Rolle
room,Raum
rule,Regel
run,rennen
safe,Tresor
same,selbe
save,retten
say,sagen
scene,Szene
school,Schule
science,Wissenschaft
scientist,Wissenschaftler
score,
sea,Meer
season,Jahreszeit
seat,Sitz
second,zweiter
section,Sektion
security,Sicherheit
see,sehen
seek,suchen
seem,scheinen
sell,verkaufen
send,senden
senior,
sense,Sinn
series,Serie
serious,ernst
serve,dienen
service,Dienstleistung
set,setzen
seven,sieben
several,mehrere
sex,Sex
sexual,
shake,schütteln
share,Aktie
she,sie
shoot,schießen
short,kurz
shot,Schuss
should,sollen
shoulder,Schulter
show,zeigen
side,Seite
sign,Schild
significant,signifikant
similar,ähnlich
simple,einfach
simply,einfach
since,seit
sing,singen
single,ledig
sister,Schwester
sit,sitzen
site,Standort
situation,Lage
six,sechs
size,Größe
skill,Fähigkeit
skin,Haut
small,klein
smile,Lächeln
so,so
social,sozial
society,Gesellschaft
soldier,Soldat
some,ein paar
somebody,jemand
someone,jemand
something,etwas
sometimes,manchmal
son,Sohn
song,Lied
soon,bald
sort,Art
sound,Klang
source,Quelle
south,Süden
southern,südlich
space,Weltraum
speak,sprechen
special,speziell
specific,
speech,Sprache
spend,ausgeben
sport,Sport
spring,Frühling
staff,Stab
stage,Bühne
stand,stehen
standard,Standard
star,Stern
start,anfangen
state,Staat
statement,Aussage
station,Bahnhof
stay,sich aufhalten
step,Schritt
still,noch
stock,Vorrat
stop,anhalten
store,Lager
story,Erzählung
strategy,Strategie
street,Straße
strong,stark
structure,Struktur
student,Student
study,studieren
stuff,ausstopfen
style,Stil
subject,
success,Erfolg
successful,erfolgreich
such,solch
suddenly,plötzlich
suffer,leiden
suggest,vorschlagen
summer,Sommer
support,Stütze
sure,sicher
surface,Oberfläche
system,System
table,Tisch
take,nehmen
talk,reden
task,Aufgabe
tax,Steuer
teach,lehren
teacher,Lehrer
team,Mannschaft
technology,Technologie
television,Fernsehen
tell,sagen
ten,zehn
tend,tendieren zu
term,Begriff
test,Examen
than,als
thank,danken
that,jener
the,der
their,ihr
them,sie
themselves,sich
then,dann
theory,Theorie
there,dort
these,diese
they,sie
thing,Ding
think,denken
third,dritte
this,dieser
those,jene
though,trotzdem
thought,Gedanke
thousand,tausend
threat,Drohung
three,drei
through,durch
throughout,
throw,werfen
thus,so
time,Zeit
to,zu
today,heute
together,zusammen
tonight,
too,auch
top,Oberteil
total,
tough,widerstandsfähig
toward,zu
town,Stadt
trade,Handel
traditional,traditionell
training,Ausbildung
travel,Reise
treat,behandeln
treatment,Behandlung
tree,Baum
trial,Verhör
trip,Reise
trouble,Ärger
true,wahr
truth,Wahrheit
try,versuchen
turn,sich drehen
TV,TV
two,zwei
type,Art
under,unter
understand,verstehen
unit,Einheit
until,bis
up,oben
upon,auf
us,uns
use,benutzen
usually,gewöhnlich
value,Wert
various,verschiedene
very,sehr
victim,Opfer
view,Anblick
violence,Gewalt
visit,besuchen
voice,Stimme
vote,Stimme
wait,warten
walk,laufen
wall,Wand
want,wollen
war,Krieg
watch,Uhr
water,Wasser
way,Weg
we,wir
weapon,Waffe
wear,tragen
week,Woche
weight,Gewicht
well,Brunnen
west,West
western,westlich
what,was
whatever,Jacke wie Hose
when,wann
where,wo
whether,ob
which,welcher
while,während
white,weiß
who,wer
whole,ganz
whom,dem
whose,wessen
why,warum
wide,breit
wife,Ehefrau
will,Testament
win,gewinnen
wind,Wind
window,Fenster
wish,wünschen
with,mit
within,in
without,ohne
woman,Frau
wonder,Wunder
word,Wort
work,Arbeit
worker,Arbeiter
world,Welt
worry,besorgt sein
would,
